pk_unique_id,name,facilityTypeId,operatorTypeId,address_city,address_stateOrRegion,specialties,equipment,capability,anomaly_score,graph_anomaly,region
636,Shai-Osudoku District Hospital,hospital,public,Dodowa,Greater Accra,"[""internalMedicine"",""otolaryngology"",""ophthalmology"",""gynecologyAndObstetrics"",""pediatrics"",""emergencyMedicine"",""radiology"",""pathology"",""generalSurgery"",""psychiatry"",""familyPlanningAndComplexContraception"",""publicHealth"",""physicalMedicineAndRehabilitation""]","[""Has two operating theatres""]","[""Bed capacity of 244 beds"",""14 wards"",""12 specialized departments"",""24/7 emergency services with 24-hour coverage"",""Earmarked by the World Health Organization (WHO) as a benchmark for health care in Africa"",""Zero maternal mortality in the last 5 years"",""Established in 1970 and upgraded to a district hospital in 2009""]",0.34605974,True,Greater Accra
616,"Saint Luke Hospital, Kasei",hospital,,Kumasi,Ashanti Region,"[""ophthalmology"",""generalSurgery"",""dentistry"",""psychiatry"",""gynecologyAndObstetrics"",""infectiousDiseases"",""familyPlanningAndComplexContraception"",""radiology"",""pathology"",""emergencyMedicine"",""internalMedicine""]","[""Ultrasound diagnostic equipment."",""Laboratory diagnostic equipment.""]","[""Has 70-bed capacity."",""Operates 24/7 emergency services."",""Provides 24-hour outpatient and inpatient care with emergency services.""]",0.39543626,True,Ashanti
159,Chrispod Hospital and Diagnostic Center,hospital,private,Dome,Ga East Municipality,"[""internalMedicine"",""otolaryngology"",""ophthalmology"",""gynecologyAndObstetrics"",""radiology"",""pathology"",""pediatrics"",""emergencyMedicine"",""anesthesia""]","[""Two fully equipped operating theatres with recovery rooms and labour rooms"",""Newborn ward facilities"",""MRI system BASDA with BASDA software platform"",""Digital Mammography System with robust detector"",""Digital Radiography system"",""CT imaging system with Interleaved Volume Reconstruction (IVR)"",""State-of-the-art laboratories for diagnostic testing""]","[""120-bed capacity general hospital"",""NHIS-accredited hospital"",""24/7 emergency service including ambulance support"",""Mortuary with 30-body capacity cold room and autopsy room"",""On-site laboratory services including blood tests, urinalysis, tissue testing and screening tests"",""On-site pharmacy services (CHDC Pharmaceutical Care)"",""Core staff strength of ten nurses, three doctors and four radiographers"",""ENT specialist Dr. Kamal Walid Amer"",""Obstetrician & Gynecologist Dr. Paul Adomako"",""Dietician Andrews Appiah""]",0.31916934,True,Ga East Municipality
432,MAB International Hospital,hospital,private,Darkuman-Nyamekye,Greater Accra,"[""internalMedicine"",""emergencyMedicine"",""generalSurgery"",""radiology"",""pediatrics"",""ophthalmology"",""otolaryngology"",""dentistry"",""pathology"",""gynecologyAndObstetrics"",""physicalMedicineAndRehabilitation""]","[""Ultrasound imaging equipment"",""Digital X-ray imaging equipment"",""ECG (electrocardiography) equipment""]","[""24/7 Emergency Unit with ambulance support"",""Over 100 general beds"",""HeFRA accredited"",""NHIA accredited"",""Branches include Megavest Medical Centre, MAB Medicare Centre, and MAB Health Training Institute"",""Dentistry Centre is available within the hospital"",""Departments include General OPD, Radiology, Pediatrics, Obstetrics/Gynaecology, General Surgery, ECG, Reflexology, Optical Services, Pharmacy, Laboratory, Blood Bank"",""Located in Darkuman-Nyamekye, Greater Accra, Ghana""]",0.27890876,True,Greater Accra
479,"Methodist Hospital, Wenchi",hospital,,Wenchi,Bono,"[""urology"",""orthopedicSurgery"",""dentistry"",""ophthalmology"",""radiology"",""clinicalPathology"",""infectiousDiseases"",""hematology"",""endocrinologyAndDiabetesAndMetabolism"",""chronicDiseasePreventionAndLifestyleMedicine"",""emergencyMedicine"",""internalMedicine""]","[""3 operating theatres"",""On-site X-Ray & Ultrasound facilities"",""Endoscope equipment""]","[""On-site laboratory services"",""Three on-site pharmacies operate 24/7, with one dedicated to wards and the other to serve the OPD unit"",""Established in 1951"",""238-bed facility"",""Referral center for 19 health facilities within Wenchi Municipality, Tain and Banda Districts"",""Specialist services: Urology, Orthopedics, Dental, Eye"",""Special clinics: Hypertensive, Diabetic, ART, Sickle Cell"",""70+ years of operation"",""75 medical staff"",""300+ nurses"",""Located in Wenchi, Bono, Ghana""]",0.37482378,True,Bono
113,Bemuah Royal Hospital,hospital,private,Accra,,"[""cardiology"",""pulmonology"",""criticalCareMedicine"",""emergencyMedicine"",""radiology"",""sleepMedicine"",""gastroenterology"",""clinicalPathology"",""clinicalNeurophysiology"",""internalMedicine""]","[""X-ray imaging equipment"",""Ultrasound machine"",""Endoscopy and bronchoscopy equipment"",""Pulmonary function testing equipment (spirometry)"",""Blood gas analyzer"",""ECG/Holter monitoring equipment"",""On-site laboratory equipment"",""Fully equipped ambulances""]","[""24/7 emergency department and 24/7 emergency medicine services"",""30-bed inpatient department with 5 ICU beds, 2 resuscitation beds, and 2 observation beds"",""First Intensive Care Unit in a private hospital in the country"",""7-bed Intensive Care Unit (ICU) completed"",""On-site laboratory, X-ray, and ultrasound services"",""Ambulances on standby 24 hours a day"",""Specializes in respiratory care, cardiology, and emergency medicine"",""Outpatient, inpatient, emergency medicine and critical care services available""]",0.3661572,True,Unknown
673,St. Francis Xavier Hospital,hospital,,Assin-Foso,Central Region,"[""ophthalmology"",""otolaryngology"",""dentistry"",""radiology"",""physicalMedicineAndRehabilitation"",""gynecologyAndObstetrics"",""pediatrics"",""infectiousDiseases"",""emergencyMedicine"",""pathology"",""anesthesia"",""internalMedicine""]","[""""]","[""Has a bed capacity of 156."",""Is an accredited NHIS facility."",""Safecare assessment in 2020 placed the facility at level 4."",""Adjudged the first best performing hospital in the Central Region by the Central Regional Health Directorate in 2021."",""Provides 24-hour emergency and ambulance service."",""Offers OPD and inpatient services."",""Offers Radiology Specialist Services."",""Offers Laboratory Services."",""Includes departments and units such as Laboratory Unit, Accident & Emergency Unit, Medical Ward, Physiotherapy, Pharmacy Unit, Dental Unit, Ear, Nose & Throat Unit, and Ophthalmology."",""Offers Mortuary Services."",""Offers TB Control and HIV/AIDS Programme."",""Offers Emergency Medicine and Blood Transfusion Services.""]",0.30827615,True,Central
514,Nyaho Medical Centre,clinic,private,Accra,,"[""ophthalmology"",""dermatology"",""pediatrics"",""gynecologyAndObstetrics"",""hematology"",""otolaryngology"",""neurosurgery"",""cardiology"",""orthopedicSurgery"",""plasticSurgery"",""urology"",""anesthesia"",""internalMedicine"",""physicalMedicineAndRehabilitation"",""dentistry""]",[],"[""Main Branch at 35 Kofi Annan Street, Airport Residential Area, Accra, operates 24/7"",""Nyaho Medical Centre has five branches"",""Octagon Branch, Primary Care Centre, Tema Branch, Takoradi Branch are part of Nyaho Medical Centre"",""Nyaho Medical Centre accepts claims from over 30 local and international insurance companies"",""Nyaho Medical Centre is SafeCare Level 4 Healthcare accredited"",""Nyaho Medical Centre is accredited as a clinical posting center for the West African Postgraduate College of Nurses and Midwives (WAPCNM)"",""Nyaho Medical Centre handles over 100,000 patient visits annually"",""Main Branch hours: 24/7; Octagon Branch hours: 7am–7pm; Primary Care Centre hours: 7am–7pm; Tema Branch hours: 7am–7pm"",""Nyaho Eye Care Services operate at Airport Main Branch""]",0.4804314,True,Unknown
322,HealthLink Hospital,hospital,,Accra,,"[""dentistry"",""pediatrics"",""urology"",""gynecologyAndObstetrics"",""ophthalmology"",""otolaryngology"",""neurology"",""neurosurgery"",""interventionalRadiology"",""radiology"",""cardiology"",""pulmonology"",""physicalMedicineAndRehabilitation"",""nephrology"",""psychiatry"",""orthopedicSurgery"",""generalSurgery"",""clinicalPathology"",""internalMedicine""]","[""HEPA-filtered central air conditioning system for clean air"",""Centralised medical gas system"",""Dialysis machines used in the dialysis clinic (globally recognized)"",""On-site laboratory operated by qualified biomedical scientists"",""High-end ultrasound and vascular Doppler diagnostic equipment"",""Vaccination cold chain system aligned with Strive for 5 standard"",""Antibacterial interior and exterior wall coatings"",""Antibacterial floor cladding"",""Clean air and infection control measures supporting international standards""]","[""Offers 24/7 services"",""International standards for infection prevention and control"",""Medevac and patient evacuation planning and services"",""On-site vaccination unit for routine services"",""Internationally certified to provide medical screening for oil and gas, mining, dredging, financial institutions and other organizations"",""Located at No. 38 Anum Tessa Avenue, Adjiringano (Bridge), East Legon, Accra, Ghana"",""Digital Address: GD 232 - 0036""]",0.7139359,True,Unknown
382,Kings and Queens Medical University Teaching Hospital,hospital,,Akosombo,Eastern Region,"[""internalMedicine"",""generalSurgery"",""anesthesia"",""cardiology"",""cardiacSurgery"",""neurology"",""neurosurgery"",""orthopedicSurgery"",""plasticSurgery"",""pediatrics"",""hepatobiliarySurgery"",""dentistry"",""ophthalmology"",""otolaryngology"",""infectiousDiseases"",""gynecologyAndObstetrics"",""radiology"",""criticalCareMedicine"",""geriatricsInternalMedicine"",""gastroenterology"",""dermatology"",""pathology"",""psychiatry"",""urology"",""emergencyMedicine"",""publicHealth"",""hematology"",""nephrology""]",[],"[""Licensed by the Ministry of Health, Ghana and the Health Facilities Regulatory Agency (HeFRA) as a medical facility"",""Accredited by the National Health Insurance Authority (NHIA), Ghana to accept all NHIS health insurance policies"",""Has a Memorandum of Understanding with GAB Health Insurance, Ghana to allow private insurance policy holders to access healthcare at Kings and Queens Teaching Hospital"",""Has Memorandum of Understanding with Eastern Regional Hospital, Koforidua and Tetteh Quarshie Memorial Hospital, Mampong for clinical rotation of medical students"",""Affiliated with Kings and Queens Medical University College"",""Signed an affiliation with University for Development Studies, Tamale for training of medical doctors"",""Signed a Memorandum of Understanding with NCPC China for training of pharmacists, pharmaceutical research and manufacturing of medicines (signed February 15, 2017)"",""Address: P.M.B AK59, Akosombo, Eastern Region, Ghana"",""Email contacts: president@kqmuc.edu.gh; info.kqth@kqmuc.edu.gh"",""Phone contacts: +233(0)501602091; +233(0)501602103""]",0.724358,True,Eastern
