pk_unique_id,facility_name,facility_type,region,city,claimed_specialty,specialty_key,has_equipment,has_capability,has_procedure,reason,severity,flag_type
636,Shai-Osudoku District Hospital,hospital,Greater Accra,Dodowa,Ophthalmology,ophthalmology,True,True,True,Ophthalmology requires eye examination equipment,HIGH,MEDICAL_INCONSISTENCY
636,Shai-Osudoku District Hospital,hospital,Greater Accra,Dodowa,Pediatrics,pediatrics,True,True,True,Pediatrics requires child-specific care facilities,HIGH,MEDICAL_INCONSISTENCY
636,Shai-Osudoku District Hospital,hospital,Greater Accra,Dodowa,Pathology / Laboratory,pathology,True,True,True,Pathology requires laboratory facilities,HIGH,MEDICAL_INCONSISTENCY
432,MAB International Hospital,hospital,Greater Accra,Darkuman-Nyamekye,Ophthalmology,ophthalmology,True,True,True,Ophthalmology requires eye examination equipment,HIGH,MEDICAL_INCONSISTENCY
673,St. Francis Xavier Hospital,hospital,Central,Assin-Foso,Gynecology & Obstetrics,gynecologyAndObstetrics,False,True,False,OB/GYN requires maternity/delivery facilities,HIGH,MEDICAL_INCONSISTENCY
673,St. Francis Xavier Hospital,hospital,Central,Assin-Foso,Pediatrics,pediatrics,False,True,False,Pediatrics requires child-specific care facilities,HIGH,MEDICAL_INCONSISTENCY
514,Nyaho Medical Centre,clinic,Unknown,Accra,Cardiology,cardiology,False,True,True,Cardiology requires cardiac diagnostic equipment (ECG/echo),HIGH,MEDICAL_INCONSISTENCY
514,Nyaho Medical Centre,clinic,Unknown,Accra,Pediatrics,pediatrics,False,True,True,Pediatrics requires child-specific care facilities,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,General Surgery,generalSurgery,False,True,False,Surgery requires an operating theatre and surgical equipment,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Cardiology,cardiology,False,True,False,Cardiology requires cardiac diagnostic equipment (ECG/echo),HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Radiology,radiology,False,True,False,Radiology requires imaging equipment,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Nephrology,nephrology,False,True,False,Nephrology requires dialysis or renal care facilities,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Emergency Medicine,emergencyMedicine,False,True,False,Emergency medicine requires 24/7 emergency unit or ambulance,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Critical Care / ICU,criticalCareMedicine,False,True,False,Critical care requires ICU / intensive care unit,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Neurosurgery,neurosurgery,False,True,False,Neurosurgery requires surgical facilities and neurosurgical equipment,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Cardiac Surgery,cardiacSurgery,False,True,False,Cardiac surgery requires operating theatre and cardiac support,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Infectious Diseases (incl. TB),infectiousDiseases,False,True,False,Infectious disease care requires lab/testing or isolation facilities,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Gynecology & Obstetrics,gynecologyAndObstetrics,False,True,False,OB/GYN requires maternity/delivery facilities,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Pediatrics,pediatrics,False,True,False,Pediatrics requires child-specific care facilities,HIGH,MEDICAL_INCONSISTENCY
382,Kings and Queens Medical University Teaching Hospital,hospital,Eastern,Akosombo,Pathology / Laboratory,pathology,False,True,False,Pathology requires laboratory facilities,HIGH,MEDICAL_INCONSISTENCY
